froi,size,subject,effect
RH_F2,0.46484433473116105,199,H
RH_F1,0.04060693752967074,199,H
RH_TP2,0.16697227233197318,199,H
RH_TP3,-0.028297466507531212,199,H
RH_TP1,0.6721647340719,199,H
RH_TP4,0.27183488259984406,199,H
RH_O1,0.09177605296564349,199,H
LH_Cer1,0.2869190367226734,199,H
RH_MID_O3,0.3112235117450862,199,H
RH_MID3,1.0098652783644917,199,H
LH_MID_O4,0.39401534129588944,199,H
RH_F4,0.35792893170955004,199,H
LH_Cer2,0.2357336083094282,199,H
RH_F3,0.0884320530452211,199,H
LH_O2,0.35605390350983945,199,H
RH_F5,0.13720003108577772,199,H
RH_MID2,-0.0929292140069436,199,H
MID1_LH_flipped,-0.10987796576005662,199,H
MID1_RH_flipped,0.011676128857120964,199,H
RH_F2,0.2714972326012229,199,E
RH_F1,0.19846730118843298,199,E
RH_TP2,0.22820862092259475,199,E
RH_TP3,-0.026933641744415412,199,E
RH_TP1,0.5435736585436914,199,E
RH_TP4,0.17766502023113628,199,E
RH_O1,-0.020991446994157854,199,E
LH_Cer1,0.24861755945500597,199,E
RH_MID_O3,0.279197277621484,199,E
RH_MID3,0.5973487942162417,199,E
LH_MID_O4,0.29959109787721466,199,E
RH_F4,0.278207156044755,199,E
LH_Cer2,0.1722815957580565,199,E
RH_F3,-0.12417076586897714,199,E
LH_O2,0.29756891940469016,199,E
RH_F5,0.18030914480019747,199,E
RH_MID2,-0.09103585602887375,199,E
MID1_LH_flipped,-0.09567675751844398,199,E
MID1_RH_flipped,-0.0042122813549897095,199,E
RH_F2,0.8360854745547803,261,H
RH_F1,0.3014319979681069,261,H
RH_TP2,0.07362650297291355,261,H
RH_TP3,0.01348976884116987,261,H
RH_TP1,0.4044196449513243,261,H
RH_TP4,0.998158641382606,261,H
RH_O1,0.4386127639200419,261,H
LH_Cer1,0.6509685903945007,261,H
RH_MID_O3,0.2502834747556406,261,H
RH_MID3,1.5095111450642795,261,H
LH_MID_O4,0.23384329513500382,261,H
RH_F4,0.6426084469753794,261,H
LH_Cer2,0.2706364619017561,261,H
RH_F3,-0.06549688625366001,261,H
LH_O2,0.264711811844155,261,H
RH_F5,0.25023121450740576,261,H
RH_MID2,-0.01799258639842298,261,H
MID1_LH_flipped,0.2288666214325444,261,H
MID1_RH_flipped,0.08183262566765181,261,H
RH_F2,0.660435015466044,261,E
RH_F1,0.11180465022506364,261,E
RH_TP2,0.04886146931406552,261,E
RH_TP3,-0.09133069744858184,261,E
RH_TP1,0.3428856735526524,261,E
RH_TP4,0.6658065650436077,261,E
RH_O1,0.37778996274435583,261,E
LH_Cer1,0.38544419510770633,261,E
RH_MID_O3,0.17914830109451604,261,E
RH_MID3,0.645310444521119,261,E
LH_MID_O4,0.21117875872398037,261,E
RH_F4,0.3018080982116347,261,E
LH_Cer2,0.08896374282857,261,E
RH_F3,-0.29043699488466096,261,E
LH_O2,0.09853921399889423,261,E
RH_F5,0.2730965222456338,261,E
RH_MID2,0.040625119053992936,261,E
MID1_LH_flipped,0.14337795668807754,261,E
MID1_RH_flipped,-0.015517588924521555,261,E
RH_F2,0.11001303184122217,407,H
RH_F1,-0.14882634477604295,407,H
RH_TP2,-0.17943999190131113,407,H
RH_TP3,-0.30472149205258575,407,H
RH_TP1,0.18599195003446167,407,H
RH_TP4,0.8071058991781669,407,H
RH_O1,0.16229456015442295,407,H
LH_Cer1,0.5059859530022776,407,H
RH_MID_O3,0.15479929873208134,407,H
RH_MID3,0.4621589234217302,407,H
