ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,H, 0,NaN
1,199_KAN_parametric_20_PL2017,E, 0,NaN
1,261_FED_20160523c_3T2_PL2017,H, 0,NaN
1,261_FED_20160523c_3T2_PL2017,E, 0,NaN
1,407_FED_20160804a_3T1_PL2017,H, 0,NaN
1,407_FED_20160804a_3T1_PL2017,E, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,H, 0,NaN
1,408_FED_20160711a2_3T1_PL2017,E, 0,NaN
1,409_FED_20160622a_3T1_PL2017,H, 0,NaN
1,409_FED_20160622a_3T1_PL2017,E, 0,NaN
1,410_FED_20160623b_3T2_PL2017,H, 0,NaN
1,410_FED_20160623b_3T2_PL2017,E, 0,NaN
1,730_FED_20190306a_3T2_PL2017,H, 0,NaN
1,730_FED_20190306a_3T2_PL2017,E, 0,NaN
1,776_FED_20190611b_3T2_PL2017,H, 0,NaN
1,776_FED_20190611b_3T2_PL2017,E, 0,NaN
1,291_FED_20160803c_3T1_PL2017,H, 0,NaN
1,291_FED_20160803c_3T1_PL2017,E, 0,NaN
1,400_FED_20160520a_3T1_PL2017,H, 0,NaN
1,400_FED_20160520a_3T1_PL2017,E, 0,NaN
1,419_FED_20160805a_3T1_PL2017,H, 0,NaN
1,419_FED_20160805a_3T1_PL2017,E, 0,NaN
1,773_FED_20190605c_3T2_PL2017,H, 0,NaN
1,773_FED_20190605c_3T2_PL2017,E, 0,NaN
1,774_FED_20190605b_3T2_PL2017,H, 0,NaN
1,774_FED_20190605b_3T2_PL2017,E, 0,NaN
1,775_FED_20190611a_3T2_PL2017,H, 0,NaN
1,775_FED_20190611a_3T2_PL2017,E, 0,NaN
1,778_FED_20190614b_3T2_PL2017,H, 0,NaN
1,778_FED_20190614b_3T2_PL2017,E, 0,NaN
2,199_KAN_parametric_20_PL2017,H, 178,2.539672
2,199_KAN_parametric_20_PL2017,E, 178,1.647819
2,261_FED_20160523c_3T2_PL2017,H, 178,2.661272
2,261_FED_20160523c_3T2_PL2017,E, 178,1.786489
