ROI,Subject,Effect, LocalizerSize,EffectSize
1,199_KAN_parametric_20_PL2017,S, 178,2.413261
1,199_KAN_parametric_20_PL2017,N, 178,1.639245
1,261_FED_20160523c_3T2_PL2017,S, 178,0.618877
1,261_FED_20160523c_3T2_PL2017,N, 178,1.257166
1,407_FED_20160804a_3T1_PL2017,S, 178,0.755434
1,407_FED_20160804a_3T1_PL2017,N, 178,0.448490
1,408_FED_20160711a2_3T1_PL2017,S, 178,0.476996
1,408_FED_20160711a2_3T1_PL2017,N, 178,0.505546
1,409_FED_20160622a_3T1_PL2017,S, 178,-0.226895
1,409_FED_20160622a_3T1_PL2017,N, 178,-0.181105
1,410_FED_20160623b_3T2_PL2017,S, 178,0.521917
1,410_FED_20160623b_3T2_PL2017,N, 178,0.169412
1,730_FED_20190306a_3T2_PL2017,S, 178,1.369896
1,730_FED_20190306a_3T2_PL2017,N, 178,2.320553
1,776_FED_20190611b_3T2_PL2017,S, 178,0.245466
1,776_FED_20190611b_3T2_PL2017,N, 178,0.118276
1,291_FED_20160803c_3T1_PL2017,S, 178,2.138135
1,291_FED_20160803c_3T1_PL2017,N, 178,1.466393
1,400_FED_20160520a_3T1_PL2017,S, 178,2.587719
1,400_FED_20160520a_3T1_PL2017,N, 178,2.092537
1,419_FED_20160805a_3T1_PL2017,S, 178,0.718067
1,419_FED_20160805a_3T1_PL2017,N, 178,0.760390
1,773_FED_20190605c_3T2_PL2017,S, 178,0.808765
1,773_FED_20190605c_3T2_PL2017,N, 178,0.771086
1,774_FED_20190605b_3T2_PL2017,S, 178,0.574498
1,774_FED_20190605b_3T2_PL2017,N, 178,0.156380
1,775_FED_20190611a_3T2_PL2017,S, 178,0.465260
1,775_FED_20190611a_3T2_PL2017,N, 178,-0.485246
1,778_FED_20190614b_3T2_PL2017,S, 178,0.701744
1,778_FED_20190614b_3T2_PL2017,N, 178,0.995660
2,199_KAN_parametric_20_PL2017,S, 116,0.518753
2,199_KAN_parametric_20_PL2017,N, 116,1.363828
2,261_FED_20160523c_3T2_PL2017,S, 116,1.022515
2,261_FED_20160523c_3T2_PL2017,N, 116,2.177874
2,407_FED_20160804a_3T1_PL2017,S, 116,0.232039
2,407_FED_20160804a_3T1_PL2017,N, 116,-0.199281
2,408_FED_20160711a2_3T1_PL2017,S, 116,0.514640
2,408_FED_20160711a2_3T1_PL2017,N, 116,0.524059
2,409_FED_20160622a_3T1_PL2017,S, 116,-0.594583
2,409_FED_20160622a_3T1_PL2017,N, 116,0.008202
2,410_FED_20160623b_3T2_PL2017,S, 116,0.095288
2,410_FED_20160623b_3T2_PL2017,N, 116,-0.052163
2,730_FED_20190306a_3T2_PL2017,S, 116,1.534901
2,730_FED_20190306a_3T2_PL2017,N, 116,3.029657
2,776_FED_20190611b_3T2_PL2017,S, 116,0.228420
2,776_FED_20190611b_3T2_PL2017,N, 116,0.018206
2,291_FED_20160803c_3T1_PL2017,S, 116,2.019658
2,291_FED_20160803c_3T1_PL2017,N, 116,1.010027
2,400_FED_20160520a_3T1_PL2017,S, 116,-1.141651
2,400_FED_20160520a_3T1_PL2017,N, 116,0.572908
2,419_FED_20160805a_3T1_PL2017,S, 116,0.278043
2,419_FED_20160805a_3T1_PL2017,N, 116,0.390211
2,773_FED_20190605c_3T2_PL2017,S, 116,0.653824
2,773_FED_20190605c_3T2_PL2017,N, 116,0.348433
2,774_FED_20190605b_3T2_PL2017,S, 116,-0.992178
